review_rating,level_1,review_text,author_id,author_name,author_app_version,review_datetime_utc,review_likes
1,90181,I installed this app a week ago and verified my account. It said that they will take maximum of 24 hours to have my account verified. It's been days now. I need to get verified so I can transfer money to Coins.ph. Please fix this.,118172*********665738,A Google user,5.41.0,2021-06-29 04:49:38+00:00,2
1,306120,Dq cya maopen,108921*********766724,A Google user,5.69.3,2023-11-07 03:10:16+00:00,0
1,304776,Keep closing and claiming that my device is not secure even though I don't have any harmful application,117550*********406392,A Google user,5.69.3,2023-11-05 09:35:41+00:00,0
1,304057,it's error it's not open,104717*********042697,A Google user,5.69.3,2023-11-04 01:14:43+00:00,0
1,112349,Its easy to send money an recieve,100177*********410847,A Google user,5.44.1,2021-09-19 15:32:03+00:00,0
1,238191,HINAY KAAYO PAG OPEN,109119*********343880,A Google user,5.62.0,2023-03-22 05:18:40+00:00,0
1,177680,Remove the OTP verification whenever we're sending money using express send! It casused too much delays!! Too hassle and not convenient unlike before. Omg.,113798*********089945,A Google user,5.53.1,2022-06-12 11:42:03+00:00,0
1,268592,"Kasampo nko nag verify ayaw parin..nakakasawa na hanggang ngayon still verifying parin, isang buwan na..ano na",102655*********816091,A Google user,5.66.2,2023-07-26 17:37:10+00:00,0
1,36726,Always having issues whenever I use it.,103445*********407312,A Google user,5.27.1,2020-04-23 04:15:39+00:00,0
1,302591,"I've been waiting for a whole year just to verify my account, yet it doesn't respond. It says that I should wait for 7 days(more like a month) and I retried it multiple times and it doesn't respond. I'm so mad.",116149*********750300,A Google user,5.69.3,2023-11-01 15:10:15+00:00,0
1,219496,bad experience,105215*********379453,A Google user,5.59.0,2022-12-02 04:56:28+00:00,0
1,293354,Hindi safe Ang pera mo pag dating sa google Wala notice before mag bawas Ng amount so disappointed 😞☹️,101527*********782357,Jo*******da,5.69.0,2023-10-18 21:31:22+00:00,0
1,26287,I shared this app to my friend so i would have 50 and then after he register he message me that he got 0 balance so i told him to wait for a bit then the next day i check my account if the reward already went in but my balance has not change at all and he also have not receive any balance but the app said if you shared this app to a person in messenger he would get 70 and i will have 50 so i tried it and it didn't work pls fix this so others wont encounter this problem thanks ................,117548*********211381,A Google user,5.22.1,2019-12-05 04:36:28+00:00,1
1,225694,"Why the app is always disapair, i just keep on reinstalling...",115026*********817009,A Google user,5.59.1,2022-12-19 08:14:46+00:00,0
1,116608,Poor sevrvice,109331*********205350,A Google user,5.44.1,2021-10-07 00:02:49+00:00,0
1,158,"Not allowing me to login on my account,even though,I'm already connected to wi-fi. Please fix this issue!",105770*********407802,A Google user,2.3.4,2015-03-24 09:55:24+00:00,1
1,286853,Stupid gcashhh,102459*********830279,GM******ed,5.68.1,2023-10-12 01:15:38+00:00,0
1,252132,"Dont trust this as your wallet your money is not save i loose 12,500 pesos without my knowledge i was not scammed and no OTP was made only gcash sent my money to others pls be carefull and look for other options except for gcash",110690*********563783,A Google user,5.64.1,2023-05-17 15:31:52+00:00,0
1,128881,its hard to update this app. always updating long time to wait for fixing this app😌😩,101736*********369075,A Google user,5.45.0,2021-11-26 01:08:15+00:00,1
1,67688,"It was all well and great experience, a fully verified user and it was really great. Unfortunately the app always asks for updates on your end and it's frustrating to keep updating to which I haven't done anything to keep them from asking. Also to that, customer service is a scam, money got lost, tried to ask for immediate help amd to mu surprise the damned case was dishonored, didn't even replied to my emails anymore. GCash should be doing actions with the money that has been lost, what a scam.",114589*********632865,A Google user,5.36.0,2021-01-23 06:12:16+00:00,271
1,81262,Puro maintenance ! sobrang abala!,111015*********518016,A Google user,5.40.0,2021-05-09 03:18:44+00:00,0
1,226673,Hindi tumatanggap ng national ID ayaw mag read pag sa back na .,108638*********413809,A Google user,5.60.0,2022-12-24 04:07:53+00:00,0
1,225877,"Bugged, you use it and the next minute the app is nowhere to be found.",106177*********671112,A Google user,5.46.1,2022-12-20 02:51:31+00:00,0
1,153296,Bawat bukas ko ..e a update..bakit ganun??gcash,102840*********068739,A Google user,5.49.1,2022-03-20 09:34:40+00:00,0
1,48900,"Since the update, I wasn't able to add my bank account and I can't still use it. Despite my friends use the same bank, the app is working fine for them.",108152*********871367,A Google user,5.30.2,2020-08-03 06:33:06+00:00,0
1,71920,Ubos na yata yung apps ko ayaw mopa din magdl🙂,108726*********550916,A Google user,5.37.0,2021-03-01 10:21:28+00:00,0
1,34045,Super good,101801*********698733,A Google user,5.26.2,2020-03-25 07:02:03+00:00,0
1,165946,This app is not good for me🤮🤮🤮,112887*********771089,A Google user,5.50.0,2022-05-15 17:47:56+00:00,0
1,187201,Its more error tsk,115007*********360964,A Google user,5.54.0,2022-07-16 11:44:05+00:00,0
1,135187,before its just once a month to update. and now takes every 2 weeks. this is undescribable🙄,104412*********815428,A Google user,5.46.1,2021-12-10 08:54:38+00:00,1
1,115683,i dont if i use it again my money was gone i dont know what to do super dissapointed because th deduct of apps is automatically pay without a permission not ok to i dont use anymore,107371*********985929,A Google user,5.41.0,2021-10-04 15:16:19+00:00,0
1,268477,I really hate updating this app every week such a tiring and eating so much space. In my mobile phone,114676*********423393,A Google user,5.66.2,2023-07-26 13:28:25+00:00,0
1,135013,"not for emergency purposes.. keeps asking u to update and u got no choice.. d ako against sa update pero may ibang paraan naman.. like ""update later"" or ""schedule update"" mamamatay na ung taong papadsalhan ng pera pero kelangan pang mag update..",102901*********597485,A Google user,5.47.0,2021-12-10 02:16:45+00:00,1
1,18409,Very difficult to reach customer service representative no option in 2882 to talk CSR!..grrrr!!,107189*********989103,A Google user,5.18.2,2019-07-24 07:31:53+00:00,0
1,250907,"So many problems, troubleshoot, face recognition, verification etc...",110666*********904952,A Google user,5.64.1,2023-05-13 07:56:58+00:00,1
1,259477,"Always update, still slow!!!",115080*********150988,A Google user,5.64.1,2023-06-11 12:29:46+00:00,0
